#{"t_start": 1588326508.1600094, "env_id": "MiniGrid-DistShift1-v0"}
r,l,t
0,252,518.876338
0,252,519.368167
0,252,519.876572
0,252,520.544763
0,252,521.040205
0,252,521.534131
0,252,522.018983
0,252,522.6855
0,252,523.184223
0,252,523.674936
0,252,524.177226
0,252,524.873706
0,252,525.378338
0,252,525.868828
0,252,526.365222
0,252,527.043821
0,252,527.550387
0,252,528.05367
0,252,528.557255
0,252,529.217705
0,252,529.720878
0,252,530.210956
0,252,530.719125
0,252,531.406954
0,252,531.896285
0,252,532.389333
0,252,532.905541
0,252,533.578013
0,252,534.072833
0,252,534.56772
0,252,535.076992
0,252,535.579326
0,252,536.249838
0,252,536.739239
0,252,537.238442
0,252,537.751245
0,252,538.456251
0,252,538.955991
0,252,539.44715
0,252,539.943347
0,252,540.612373
0,252,541.113682
0,252,541.610317
0,252,542.111332
0,252,542.774211
0,252,543.280638
0,252,543.779187
0,252,544.28275
0,252,544.962223
0,252,545.472722
0,252,545.968918
0,252,546.467811
0,252,547.13248
0,252,547.635516
0,252,548.136336
0,252,548.643187
0,252,549.322299
0,252,549.826573
0,252,550.323076
0,252,550.833147
0,252,551.524401
0,252,552.031834
0,252,552.539516
0,252,553.052659
0,252,553.73186
0,252,554.240957
0,252,554.741688
0,252,555.244549
0,252,555.9011
0,252,556.404839
0,252,556.901341
0,252,557.407395
0,252,558.102242
0,252,558.618648
0,252,559.125844
0,252,559.630646
0,252,560.32156
0,252,560.825228
0,252,561.338959
0.696429,85,561.503366
0,252,562.005134
0,252,562.67221
0,252,563.180007
0,252,563.681737
0,252,564.205476
0,252,564.912979
0,252,565.415996
0,252,565.919241
0,252,566.429253
0,252,567.113229
0,252,567.613288
0,252,568.11351
0.489286,143,568.407576
0,252,568.90863
0,252,569.577227
0,252,570.076742
0,252,570.603844
0,252,571.112603
0,252,571.813728
0,252,572.323397
0,252,572.830772
0,252,573.329547
0,252,573.993656
0,252,574.499713
0,252,575.009894
0,252,575.52136
0,252,576.215079
0,252,576.739157
0,252,577.259965
0,252,577.763988
0,252,578.49084
0,252,579.005546
0,252,579.515936
0,252,580.038081
